Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(955, 624, 3.5012087096220057e-07)","(872, 587, -0.022128554061055183)","(812, 515, -0.03001055307686329)","(784, 449, -0.03645339235663414)","(765, 396, -0.04226388409733772)","(894, 413, -0.01135404035449028)","(880, 332, -0.0250345878303051)","(874, 283, -0.037905238568782806)","(871, 239, -0.04880165308713913)","(952, 408, -0.015428510494530201)","(958, 317, -0.027112189680337906)","(960, 260, -0.04099741578102112)","(963, 208, -0.05227763578295708)","(1003, 423, -0.023605292662978172)","(1018, 339, -0.04212181270122528)","(1025, 282, -0.058670107275247574)","(1029, 228, -0.07086536288261414)","(1049, 455, -0.0335831344127655)","(1091, 403, -0.05383938550949097)","(1119, 367, -0.06559855490922928)","(1143, 329, -0.07378941029310226)",2.7779018878936768
"(961, 626, 3.391552354514715e-07)","(878, 587, -0.022699780762195587)","(820, 515, -0.030048251152038574)","(797, 445, -0.035777535289525986)","(781, 392, -0.040805984288454056)","(903, 415, -0.010872517712414265)","(890, 333, -0.023944392800331116)","(884, 284, -0.036528829485177994)","(881, 239, -0.047301799058914185)","(961, 411, -0.014246816746890545)","(967, 320, -0.02505459636449814)","(970, 263, -0.03853761404752731)","(974, 212, -0.049602631479501724)","(1012, 427, -0.021797262132167816)","(1028, 342, -0.03987390175461769)","(1036, 285, -0.056465793401002884)","(1042, 232, -0.06872397661209106)","(1059, 459, -0.031196817755699158)","(1100, 409, -0.05198638141155243)","(1129, 373, -0.06412482261657715)","(1155, 336, -0.07240388542413712)",2.9152159690856934
"(979, 633, 3.349342989622528e-07)","(892, 591, -0.021775830537080765)","(839, 513, -0.028806956484913826)","(825, 441, -0.0342404805123806)","(814, 385, -0.03910786658525467)","(921, 419, -0.012637849897146225)","(911, 336, -0.026925502344965935)","(908, 285, -0.039924588054418564)","(908, 240, -0.050757311284542084)","(981, 417, -0.01714445650577545)","(988, 324, -0.029175305739045143)","(993, 266, -0.043665193021297455)","(997, 214, -0.05526251718401909)","(1033, 435, -0.02539985254406929)","(1052, 348, -0.04442474991083145)","(1062, 291, -0.06101387366652489)","(1070, 238, -0.07306427508592606)","(1081, 469, -0.0352635532617569)","(1123, 416, -0.056462980806827545)","(1152, 380, -0.06779993325471878)","(1178, 343, -0.07530874013900757)",3.044433116912842
"(986, 629, 3.1067514782989747e-07)","(905, 578, -0.018973419442772865)","(856, 497, -0.024782583117485046)","(844, 425, -0.0297804344445467)","(844, 369, -0.03432770073413849)","(940, 414, -0.0070852963253855705)","(937, 336, -0.021084826439619064)","(935, 288, -0.03440845012664795)","(935, 243, -0.045696426182985306)","(995, 413, -0.0123511403799057)","(1007, 324, -0.024177880957722664)","(1012, 267, -0.03796568512916565)","(1014, 215, -0.04919734597206116)","(1044, 431, -0.021548159420490265)","(1064, 348, -0.039207715541124344)","(1071, 292, -0.053107425570487976)","(1074, 239, -0.06324245035648346)","(1089, 465, -0.032379258424043655)","(1128, 407, -0.05042950063943863)","(1151, 366, -0.05918918177485466)","(1169, 324, -0.06532972306013107)",3.1775739192962646
"(983, 590, -5.468660333463049e-07)","(902, 526, -0.00573244784027338)","(855, 449, -0.010257868096232414)","(848, 386, -0.0217890664935112)","(873, 341, -0.030688682571053505)","(928, 381, 0.021647579967975616)","(917, 326, -0.004005507566034794)","(888, 366, -0.022464744746685028)","(882, 405, -0.030464252457022667)","(972, 382, 0.011480201967060566)","(965, 310, -0.016209367662668228)","(926, 363, -0.02706574648618698)","(924, 408, -0.025754043832421303)","(1019, 394, -0.003995147068053484)","(1019, 320, -0.02830931916832924)","(980, 366, -0.02535337395966053)","(975, 411, -0.014460571110248566)","(1068, 415, -0.021022748202085495)","(1074, 345, -0.030471239238977432)","(1038, 363, -0.022264454513788223)","(1021, 395, -0.011386660858988762)",3.313053846359253
"(970, 526, -4.7083196363928437e-07)","(880, 446, 0.007560082245618105)","(837, 385, 0.008555807173252106)","(831, 326, 0.0004342122992966324)","(852, 286, -0.0055585443042218685)","(904, 318, 0.04681303724646568)","(877, 279, 0.029032530263066292)","(864, 329, 0.01453210785984993)","(872, 360, 0.008145228959619999)","(940, 315, 0.03336339816451073)","(915, 270, 0.012132273986935616)","(899, 333, 0.0023877588100731373)","(912, 363, 0.003688728902488947)","(983, 319, 0.015270689502358437)","(953, 277, -0.0017896314384415746)","(939, 335, 0.005665483418852091)","(954, 361, 0.01799790933728218)","(1030, 335, -0.0035575239453464746)","(1000, 286, -0.005456088110804558)","(982, 324, 0.009333803318440914)","(995, 348, 0.02421664074063301)",3.4554290771484375
"(968, 468, -4.732919194339047e-07)","(882, 385, 0.014415147714316845)","(860, 322, 0.017375709488987923)","(857, 276, 0.010516976937651634)","(855, 233, 0.00626042764633894)","(925, 250, 0.04729145020246506)","(853, 239, 0.02434326522052288)","(858, 282, 0.005199954845011234)","(883, 299, -0.004638707730919123)","(944, 244, 0.029033591970801353)","(852, 238, 0.00388697418384254)","(861, 291, -0.007307369261980057)","(897, 300, -0.008214311674237251)","(963, 244, 0.006356535479426384)","(868, 238, -0.014499062672257423)","(875, 294, -0.0074125188402831554)","(908, 303, 0.0034373116213828325)","(979, 253, -0.017187047749757767)","(893, 250, -0.02697901241481304)","(896, 291, -0.017721526324748993)","(928, 302, -0.006142591591924429)",3.588567018508911
"(951, 444, -5.814052883579279e-07)","(880, 373, 0.010105316527187824)","(872, 310, 0.010147557593882084)","(875, 265, 0.0035453741438686848)","(880, 229, -0.0009402814321219921)","(955, 232, 0.02773626707494259)","(853, 231, 0.006612420082092285)","(852, 278, -0.01137006189674139)","(876, 305, -0.020272497087717056)","(961, 231, 0.013101768679916859)","(847, 234, -0.008544513024389744)","(847, 287, -0.017829930409789085)","(877, 311, -0.018786709755659103)","(959, 239, -0.004272556863725185)","(848, 240, -0.022436121478676796)","(847, 292, -0.01807398721575737)","(879, 311, -0.010381077416241169)","(950, 257, -0.022374076768755913)","(858, 259, -0.034244026988744736)","(857, 300, -0.029409347102046013)","(884, 319, -0.02099517546594143)",3.7196319103240967
"(931, 458, -6.280898219301889e-07)","(866, 392, 0.006877387408167124)","(859, 328, 0.006653452757745981)","(861, 285, 0.0002936423697974533)","(864, 251, -0.0021404509898275137)","(959, 252, 0.026526780799031258)","(852, 245, 0.0022412831895053387)","(852, 297, -0.015459829941391945)","(881, 316, -0.02449677512049675)","(966, 250, 0.011770595796406269)","(842, 248, -0.01383349671959877)","(843, 305, -0.020970165729522705)","(877, 320, -0.02018153853714466)","(963, 259, -0.006838830187916756)","(845, 254, -0.028927331790328026)","(845, 311, -0.020752746611833572)","(879, 326, -0.010249563492834568)","(952, 278, -0.02680128626525402)","(862, 277, -0.04134552925825119)","(864, 317, -0.03619545325636864)","(895, 331, -0.02730916626751423)",3.85727596282959
"(915, 450, -6.923538080627623e-07)","(870, 373, 0.017559818923473358)","(867, 315, 0.0223589725792408)","(865, 273, 0.016904117539525032)","(865, 232, 0.013863991014659405)","(953, 259, 0.04586690291762352)","(875, 227, 0.021819865331053734)","(857, 275, 0.004154455382376909)","(873, 307, -0.0034913751296699047)","(968, 257, 0.02548639476299286)","(867, 220, -0.0010955545585602522)","(849, 282, -0.009826689958572388)","(876, 314, -0.007018122356384993)","(980, 260, 0.0009231266449205577)","(875, 223, -0.023080410435795784)","(859, 286, -0.01604807749390602)","(891, 314, -0.003024517325684428)","(988, 274, -0.0239460077136755)","(902, 243, -0.03739647939801216)","(885, 286, -0.0294398982077837)","(909, 315, -0.017210621386766434)",3.9903547763824463
"(930, 456, 4.5071413268260585e-08)","(875, 429, -0.008498613722622395)","(848, 369, -0.013354316353797913)","(836, 325, -0.01923101767897606)","(819, 291, -0.025780178606510162)","(865, 277, -0.00901762768626213)","(844, 210, -0.027751518413424492)","(819, 169, -0.0435626283288002)","(794, 139, -0.053778134286403656)","(897, 275, -0.01696941815316677)","(885, 197, -0.0324750579893589)","(859, 141, -0.046533793210983276)","(832, 97, -0.056562840938568115)","(928, 292, -0.027139676734805107)","(939, 219, -0.044958651065826416)","(925, 167, -0.06036761403083801)","(907, 125, -0.07065796107053757)","(954, 324, -0.03770109638571739)","(985, 278, -0.055085815489292145)","(991, 238, -0.06572238355875015)","(987, 199, -0.07300372421741486)",4.120097875595093
"(928, 498, 4.2636176544874616e-07)","(874, 468, -0.009722954593598843)","(850, 401, -0.016592955216765404)","(845, 354, -0.023835325613617897)","(836, 318, -0.03406098484992981)","(882, 311, -0.023056160658597946)","(871, 234, -0.042561158537864685)","(857, 182, -0.05855707451701164)","(844, 137, -0.07075174897909164)","(917, 311, -0.03578752279281616)","(921, 214, -0.0552288182079792)","(917, 141, -0.07522962242364883)","(913, 78, -0.08937963843345642)","(950, 332, -0.04934725910425186)","(968, 233, -0.0743405669927597)","(975, 161, -0.0988047644495964)","(979, 99, -0.11577724665403366)","(978, 373, -0.0624687559902668)","(1021, 318, -0.09034986048936844)","(1050, 277, -0.10596613585948944)","(1075, 241, -0.11602692306041718)",4.254087924957275
"(960, 556, 3.217387245513237e-07)","(897, 522, -0.01029791310429573)","(868, 446, -0.014253336936235428)","(863, 390, -0.01815929263830185)","(852, 353, -0.024543873965740204)","(914, 352, -0.021364465355873108)","(899, 270, -0.03737857937812805)","(885, 216, -0.049885768443346024)","(873, 170, -0.05994167551398277)","(960, 351, -0.0332113541662693)","(965, 250, -0.04883163049817085)","(963, 178, -0.06610243022441864)","(963, 117, -0.07860974967479706)","(999, 374, -0.04610583186149597)","(1030, 274, -0.07039806246757507)","(1041, 202, -0.09623993188142776)","(1052, 140, -0.11435892432928085)","(1030, 419, -0.05836978927254677)","(1093, 370, -0.08815521001815796)","(1133, 330, -0.10658550262451172)","(1166, 294, -0.11851664632558823)",4.3907060623168945
"(997, 596, 3.8766199850215344e-07)","(931, 555, -0.012126156128942966)","(902, 467, -0.013971047475934029)","(901, 403, -0.0158913042396307)","(892, 362, -0.019326483830809593)","(968, 369, -0.015812845900654793)","(957, 283, -0.030609922483563423)","(948, 227, -0.04285680130124092)","(941, 179, -0.05298217758536339)","(1020, 368, -0.026844792068004608)","(1034, 265, -0.04144198074936867)","(1040, 192, -0.05892942100763321)","(1047, 127, -0.07158348709344864)","(1064, 394, -0.03980562835931778)","(1102, 296, -0.0650855004787445)","(1122, 225, -0.09287814795970917)","(1141, 164, -0.11194375157356262)","(1099, 441, -0.05247770622372627)","(1173, 396, -0.08392302691936493)","(1222, 359, -0.10441641509532928)","(1266, 327, -0.11752768605947495)",4.523386001586914
