Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7,Joint 8,Joint 9,Joint 10,Joint 11,Joint 12,Joint 13,Joint 14,Time
176.25701163834285,171.25383764430987,178.96775532855995,169.63739779741056,179.6128696117455,165.88353872874936,178.42476088817304,170.57460705325678,174.47423918230152,175.53284121455812,170.31656867744795,174.83226952362384,163.937828498632,176.92517031786358,0.17558693885803223
173.08434607471455,175.18359039358037,178.28073761141266,176.81421806826296,178.1451175392416,179.29274821082356,179.8790383964485,176.1989016639708,175.7996016286742,166.73208466450365,177.30333789080484,178.88607078990523,173.72556328467738,177.70002755985703,0.361051082611084
171.33527136337327,178.95145875731237,175.7846971276677,179.35546001318883,179.3605936259255,178.2105423681259,178.52972129613963,178.33430111777287,175.59159761573463,169.46392712485522,179.0557269295982,178.95538222692463,174.05198842452577,178.28537616162114,0.5270321369171143
163.8772647510677,174.6525113350858,174.75185617458482,178.97590197830874,179.89877036185717,174.98647579026078,175.73210662760576,175.9851400466611,174.88763938126286,171.0974943450213,179.97178954712615,179.2371303481624,176.73331022710198,176.6740841148101,0.694951057434082
173.26951634531463,174.94214556152357,176.8797690557303,178.32993190938538,179.1032243606077,179.9846934351147,179.04638111380947,177.0940789927392,177.15823995508524,177.36936987667264,169.99449989773893,174.71381848487601,178.94474867335424,175.5755618096672,0.8619041442871094
163.94467368840924,177.25871070752672,176.56975763370775,177.28175839810123,179.58712786527317,174.02267479998224,178.25416426967317,173.49898868842672,176.04325755511394,167.54555962454322,175.764956433663,177.45788099152304,172.6642779102159,178.07649600375402,1.0303699970245361
168.9146259241765,178.2972874898407,179.7988342076133,179.49432012982237,179.13398106433866,176.75484384518234,178.86471321255,175.02490944017413,174.3560516918601,168.4766313227305,174.6420671011038,176.3717841995357,170.07803711222613,176.30746018416866,1.1939592361450195
163.49145244245477,179.1882681590058,175.61728556867456,178.87039360040055,179.33520530859212,176.04260681721524,178.57820972363885,177.3893386724811,175.76466836953423,164.83172671574258,173.46259721480803,174.59324244482707,168.0767288979592,178.51171223453292,1.361388921737671
169.2248126118998,177.52696126497065,178.66777978234188,178.87114356403785,179.9996391979883,173.1572247962541,179.3033269358174,176.1084576939096,175.2299764904182,165.3611778602488,173.4231270383018,173.78096804601913,168.3437573299045,179.129230657056,1.5245649814605713
171.163899993615,178.36233183755243,177.6542153594732,176.44077753865304,179.64751991167472,172.89749171665088,178.43787646448644,175.84975701110855,175.2299764264323,164.50947493718667,174.09140697954783,175.09358112044376,167.9309875197909,177.76574747622558,1.693817138671875
