Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(488, 397, 5.277673267300997e-07)","(427, 365, -0.03493310511112213)","(388, 305, -0.05142318457365036)","(369, 254, -0.06609128415584564)","(345, 219, -0.08093519508838654)","(451, 220, -0.021870721131563187)","(442, 154, -0.044995151460170746)","(437, 113, -0.06738988310098648)","(436, 76, -0.086280457675457)","(493, 217, -0.02995230443775654)","(502, 142, -0.04776555672287941)","(510, 99, -0.06668315082788467)","(518, 62, -0.0830865278840065)","(528, 230, -0.044462259858846664)","(541, 159, -0.06774166226387024)","(547, 117, -0.08488713204860687)","(552, 78, -0.09952719509601593)","(561, 255, -0.06289803236722946)","(584, 204, -0.08644825220108032)","(599, 170, -0.09717733412981033)","(611, 136, -0.10618630796670914)",1.8912725448608398
"(486, 397, 5.360481623029045e-07)","(427, 364, -0.03400609269738197)","(387, 305, -0.05089392140507698)","(366, 256, -0.06624286621809006)","(342, 221, -0.08165167272090912)","(450, 220, -0.01951627805829048)","(440, 154, -0.04209619015455246)","(436, 113, -0.0642552599310875)","(435, 77, -0.08299041539430618)","(492, 217, -0.02811620570719242)","(502, 142, -0.04538599029183388)","(510, 99, -0.06407027691602707)","(517, 63, -0.08027222007513046)","(527, 230, -0.04321907460689545)","(539, 159, -0.06605663150548935)","(546, 116, -0.0829833596944809)","(550, 78, -0.09744302928447723)","(560, 254, -0.062194764614105225)","(583, 204, -0.0851161852478981)","(598, 170, -0.09545259922742844)","(611, 136, -0.10419419407844543)",2.0036332607269287
"(486, 397, 5.414041197582264e-07)","(426, 364, -0.03627108410000801)","(387, 305, -0.05447356030344963)","(367, 255, -0.07058653235435486)","(344, 219, -0.08671144396066666)","(450, 220, -0.023736942559480667)","(441, 153, -0.04802924394607544)","(436, 113, -0.07120279222726822)","(435, 76, -0.0905732735991478)","(493, 217, -0.03168082982301712)","(503, 142, -0.05039748549461365)","(510, 98, -0.06978079676628113)","(517, 62, -0.08639778941869736)","(528, 230, -0.046165116131305695)","(541, 159, -0.06992440670728683)","(547, 117, -0.08688849955797195)","(551, 78, -0.10134732723236084)","(560, 256, -0.06467468291521072)","(584, 205, -0.08832665532827377)","(598, 172, -0.09879211336374283)","(610, 138, -0.10753844678401947)",2.1124048233032227
"(488, 397, 5.265725349090644e-07)","(428, 364, -0.03560832142829895)","(388, 305, -0.053152475506067276)","(368, 256, -0.0685870423913002)","(345, 218, -0.08382351696491241)","(452, 219, -0.022660143673419952)","(442, 153, -0.04588289558887482)","(437, 112, -0.06833920627832413)","(437, 76, -0.08721973747015)","(494, 216, -0.03051755391061306)","(504, 142, -0.048161644488573074)","(512, 99, -0.06667393445968628)","(519, 63, -0.08278834819793701)","(529, 230, -0.044951409101486206)","(542, 159, -0.06814450770616531)","(548, 117, -0.08503700792789459)","(553, 78, -0.09955890476703644)","(562, 255, -0.0633610412478447)","(585, 205, -0.08697348833084106)","(599, 171, -0.09778615832328796)","(612, 138, -0.10682198405265808)",2.2137014865875244
"(488, 396, 5.109139351588965e-07)","(429, 364, -0.03495923429727554)","(389, 303, -0.05105605348944664)","(370, 253, -0.06522557139396667)","(347, 216, -0.07938957214355469)","(452, 219, -0.021362964063882828)","(443, 153, -0.04444378614425659)","(438, 112, -0.06677921861410141)","(437, 76, -0.08554964512586594)","(494, 216, -0.029164182022213936)","(504, 142, -0.046591054648160934)","(512, 98, -0.06539274752140045)","(519, 62, -0.08175071328878403)","(530, 230, -0.04341700300574303)","(543, 159, -0.06618741899728775)","(549, 117, -0.08280149102210999)","(554, 79, -0.09712135046720505)","(562, 255, -0.06160541623830795)","(585, 205, -0.08472704142332077)","(600, 171, -0.0950109213590622)","(613, 138, -0.10367250442504883)",2.3446788787841797
"(488, 395, 5.154435598342388e-07)","(429, 363, -0.03410199284553528)","(390, 303, -0.05085720121860504)","(370, 254, -0.0659971535205841)","(347, 218, -0.08137156069278717)","(453, 219, -0.02111651375889778)","(443, 153, -0.044488757848739624)","(439, 113, -0.06710006296634674)","(438, 77, -0.08618053793907166)","(495, 216, -0.02980385348200798)","(505, 142, -0.04804019257426262)","(513, 99, -0.06731986999511719)","(521, 62, -0.08394646644592285)","(530, 230, -0.04487568140029907)","(543, 158, -0.06858719885349274)","(549, 117, -0.08572082221508026)","(555, 78, -0.10032252222299576)","(563, 255, -0.06373961269855499)","(586, 204, -0.08752573281526566)","(601, 171, -0.09814875572919846)","(613, 137, -0.10706817358732224)",2.45428466796875
"(490, 396, 5.074193154541717e-07)","(430, 365, -0.033777955919504166)","(389, 306, -0.0495520681142807)","(367, 257, -0.0637231096625328)","(343, 221, -0.07758981734514236)","(452, 220, -0.01677052676677704)","(442, 154, -0.037811972200870514)","(438, 113, -0.05904645472764969)","(437, 78, -0.07717705518007278)","(494, 217, -0.024582089856266975)","(503, 143, -0.04024633765220642)","(510, 100, -0.05792669951915741)","(517, 65, -0.0735207051038742)","(529, 229, -0.03904937580227852)","(540, 160, -0.06007591262459755)","(546, 118, -0.07613546401262283)","(551, 80, -0.09021825343370438)","(561, 253, -0.05752494931221008)","(583, 203, -0.07925152033567429)","(598, 170, -0.08954570442438126)","(610, 137, -0.09835135191679001)",2.5648038387298584
"(489, 397, 4.4027049739270296e-07)","(429, 366, -0.03117728978395462)","(387, 307, -0.04489925876259804)","(364, 258, -0.057771869003772736)","(338, 223, -0.07013171166181564)","(449, 222, -0.009343842975795269)","(437, 158, -0.028351735323667526)","(431, 118, -0.0489841029047966)","(428, 84, -0.06655588746070862)","(490, 219, -0.017321042716503143)","(496, 146, -0.030560795217752457)","(501, 104, -0.0470375195145607)","(506, 71, -0.06169937551021576)","(525, 231, -0.032129671424627304)","(534, 162, -0.05081387609243393)","(539, 122, -0.06505745649337769)","(541, 85, -0.07776778191328049)","(559, 254, -0.05094087868928909)","(578, 204, -0.0700669139623642)","(589, 172, -0.07832953333854675)","(598, 139, -0.08568268269300461)",2.665529251098633
"(488, 397, 4.5385485236693057e-07)","(428, 367, -0.03247850388288498)","(387, 308, -0.046428382396698)","(365, 259, -0.05913051590323448)","(340, 223, -0.07139365375041962)","(448, 223, -0.012034319341182709)","(436, 159, -0.03142506256699562)","(430, 121, -0.05210841819643974)","(428, 86, -0.06995830684900284)","(490, 220, -0.01948106847703457)","(495, 148, -0.032673195004463196)","(501, 106, -0.048830047249794006)","(505, 72, -0.06362330168485641)","(525, 231, -0.0337882936000824)","(534, 163, -0.052537959069013596)","(538, 123, -0.06663811206817627)","(540, 87, -0.07962346076965332)","(558, 254, -0.052249569445848465)","(578, 206, -0.07192659378051758)","(589, 174, -0.08083220571279526)","(597, 142, -0.08889098465442657)",2.7690696716308594
"(506, 402, 3.442645777340658e-07)","(444, 372, -0.028288796544075012)","(400, 314, -0.040093034505844116)","(377, 265, -0.05103394761681557)","(351, 232, -0.0613875612616539)","(459, 228, -0.009250457398593426)","(443, 164, -0.028035597875714302)","(437, 126, -0.04849359765648842)","(433, 93, -0.06573386490345001)","(500, 223, -0.01736966148018837)","(502, 152, -0.02953714318573475)","(504, 111, -0.044956762343645096)","(506, 78, -0.05883128568530083)","(536, 234, -0.03165940195322037)","(542, 166, -0.048957329243421555)","(543, 127, -0.0610920675098896)","(542, 92, -0.07223919034004211)","(570, 257, -0.04970467463135719)","(588, 209, -0.06708984822034836)","(596, 178, -0.07325087487697601)","(602, 147, -0.07885560393333435)",2.868575096130371
"(547, 403, 2.8193940693199693e-07)","(487, 371, -0.029264269396662712)","(443, 313, -0.04033127799630165)","(415, 268, -0.050990279763936996)","(387, 235, -0.0604974739253521)","(499, 229, -0.0036637827288359404)","(483, 167, -0.020568767562508583)","(475, 130, -0.03989476338028908)","(468, 97, -0.0564861036837101)","(538, 223, -0.010341630317270756)","(537, 156, -0.02121638134121895)","(538, 117, -0.03667547181248665)","(536, 85, -0.050176139920949936)","(575, 233, -0.023498833179473877)","(577, 169, -0.038767337799072266)","(578, 131, -0.05018911883234978)","(576, 98, -0.06041339784860611)","(610, 255, -0.04074117913842201)","(626, 207, -0.05508479103446007)","(634, 176, -0.05976642295718193)","(639, 146, -0.06424278020858765)",2.971238851547241
"(568, 395, 3.6323388030723436e-07)","(509, 364, -0.029800834134221077)","(463, 308, -0.04107246547937393)","(436, 262, -0.051309507340192795)","(410, 227, -0.06023743003606796)","(519, 226, -0.007667441852390766)","(504, 165, -0.026166139170527458)","(497, 129, -0.04576868936419487)","(492, 98, -0.06208555027842522)","(559, 221, -0.013748683966696262)","(560, 155, -0.025368690490722656)","(559, 117, -0.041058991104364395)","(558, 86, -0.05486852675676346)","(596, 232, -0.0262327641248703)","(602, 168, -0.04304103925824165)","(602, 132, -0.055245641618967056)","(599, 100, -0.06639053672552109)","(630, 255, -0.04248509183526039)","(650, 214, -0.060729410499334335)","(659, 188, -0.06692284345626831)","(664, 163, -0.07192680239677429)",3.1253552436828613
