Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(1014, 631, -1.1343274053388086e-07)","(973, 673, 0.029547614976763725)","(958, 718, 0.0414322167634964)","(960, 755, 0.050526250153779984)","(970, 782, 0.06020044535398483)","(942, 768, 0.010540980845689774)","(926, 820, 0.025178346782922745)","(935, 822, 0.04326360300183296)","(944, 806, 0.05673937499523163)","(976, 777, 0.0028805374167859554)","(972, 841, 0.016387101262807846)","(985, 830, 0.03655179589986801)","(989, 814, 0.05158146470785141)","(1013, 778, -0.0006180738564580679)","(1013, 839, 0.01511378027498722)","(1017, 827, 0.03516259416937828)","(1020, 809, 0.047712765634059906)","(1050, 770, -0.001408399548381567)","(1048, 809, 0.01427906472235918)","(1047, 799, 0.02940536104142666)","(1046, 781, 0.04041410982608795)",36.594104051589966
"(1010, 628, -1.1825248691366141e-07)","(967, 667, 0.028885703533887863)","(950, 713, 0.041687801480293274)","(949, 750, 0.05231776088476181)","(953, 777, 0.06364639848470688)","(944, 771, 0.009689736180007458)","(928, 820, 0.026133311912417412)","(935, 817, 0.04506112262606621)","(942, 801, 0.05876171961426735)","(978, 777, 0.0032971289474517107)","(974, 840, 0.019018521532416344)","(982, 828, 0.039848677814006805)","(986, 811, 0.054687801748514175)","(1016, 777, 0.0011839291546493769)","(1013, 839, 0.01790272444486618)","(1014, 827, 0.0374775156378746)","(1017, 808, 0.0493776798248291)","(1051, 768, 0.0018945590127259493)","(1046, 809, 0.01784021034836769)","(1043, 799, 0.032635051757097244)","(1043, 782, 0.04318327084183693)",37.07350707054138
"(1007, 627, -1.0179321918712958e-07)","(965, 668, 0.030726106837391853)","(952, 712, 0.044025540351867676)","(954, 749, 0.05421553924679756)","(963, 776, 0.06506706774234772)","(941, 765, 0.014797025360167027)","(924, 818, 0.03058786690235138)","(936, 826, 0.04955792799592018)","(947, 812, 0.0638006404042244)","(975, 774, 0.006905904971063137)","(971, 838, 0.02157532423734665)","(983, 830, 0.04278278350830078)","(988, 815, 0.058843307197093964)","(1014, 775, 0.002928664442151785)","(1013, 837, 0.018772929906845093)","(1015, 828, 0.039455339312553406)","(1018, 812, 0.052825409919023514)","(1053, 765, 0.001734874676913023)","(1049, 805, 0.017440468072891235)","(1047, 795, 0.03307647258043289)","(1046, 777, 0.04468677192926407)",37.34598898887634
"(1009, 631, -1.1092063090245574e-07)","(963, 667, 0.03052808716893196)","(948, 711, 0.04441416263580322)","(951, 749, 0.055154554545879364)","(957, 775, 0.06653078645467758)","(941, 769, 0.016909008845686913)","(925, 820, 0.03373013064265251)","(935, 822, 0.05231981351971626)","(944, 806, 0.06577633321285248)","(976, 779, 0.009278848767280579)","(972, 840, 0.02505655400454998)","(981, 828, 0.04504833742976189)","(986, 811, 0.05956518277525902)","(1014, 780, 0.005520462524145842)","(1012, 839, 0.02261177822947502)","(1013, 825, 0.04197702556848526)","(1015, 807, 0.05374526605010033)","(1052, 769, 0.004457833245396614)","(1047, 808, 0.021114826202392578)","(1044, 796, 0.03605980798602104)","(1043, 777, 0.046609923243522644)",37.656392097473145
"(1010, 630, -1.0371119429919418e-07)","(963, 667, 0.030270876362919807)","(946, 709, 0.04382355511188507)","(945, 745, 0.054656676948070526)","(953, 770, 0.06629668176174164)","(941, 767, 0.01373789831995964)","(924, 818, 0.02896222658455372)","(932, 825, 0.04763156920671463)","(942, 811, 0.06203211471438408)","(977, 776, 0.006793559994548559)","(973, 839, 0.021656664088368416)","(981, 832, 0.04331619292497635)","(985, 817, 0.05976935848593712)","(1015, 776, 0.0037332589272409678)","(1014, 838, 0.019250204786658287)","(1014, 829, 0.03984133154153824)","(1016, 813, 0.05351819097995758)","(1052, 767, 0.0035422961227595806)","(1049, 807, 0.01907987892627716)","(1046, 799, 0.03453872352838516)","(1044, 783, 0.04624423012137413)",37.94995903968811
"(1015, 638, -1.0402661132502544e-07)","(968, 675, 0.02817545086145401)","(951, 716, 0.039760518819093704)","(951, 753, 0.04861077666282654)","(961, 779, 0.058190979063510895)","(940, 768, 0.011747795157134533)","(921, 821, 0.024729939177632332)","(931, 828, 0.04136849194765091)","(943, 814, 0.054184943437576294)","(975, 778, 0.004355386830866337)","(968, 843, 0.016816943883895874)","(980, 831, 0.03632263466715813)","(987, 814, 0.051183588802814484)","(1013, 780, 0.0006007562624290586)","(1011, 841, 0.014851370826363564)","(1015, 828, 0.03421774134039879)","(1018, 808, 0.04676596075296402)","(1051, 771, -0.0005927453748881817)","(1049, 808, 0.01414403971284628)","(1049, 796, 0.028852440416812897)","(1047, 777, 0.03975884988903999)",38.2831871509552
"(1006, 630, -1.2545882555059507e-07)","(961, 667, 0.031050685793161392)","(942, 708, 0.045554354786872864)","(938, 744, 0.05711652711033821)","(942, 771, 0.06945876777172089)","(937, 769, 0.017385903745889664)","(923, 820, 0.0329342745244503)","(933, 825, 0.05063283443450928)","(943, 809, 0.06413827836513519)","(973, 776, 0.010518188588321209)","(972, 838, 0.026619933545589447)","(982, 826, 0.04756324738264084)","(985, 810, 0.06296198815107346)","(1012, 777, 0.007365148980170488)","(1012, 838, 0.02352391928434372)","(1014, 827, 0.04348629713058472)","(1016, 809, 0.05632702261209488)","(1048, 768, 0.007099016569554806)","(1047, 805, 0.022689424455165863)","(1045, 796, 0.03764216974377632)","(1043, 780, 0.04870928078889847)",38.69013500213623
"(1010, 635, -1.1081597506290564e-07)","(962, 670, 0.0316796712577343)","(947, 709, 0.04744019731879234)","(947, 741, 0.05993157997727394)","(956, 766, 0.0734458714723587)","(936, 770, 0.022602971643209457)","(920, 820, 0.03773023560643196)","(930, 828, 0.054502226412296295)","(941, 815, 0.06752698868513107)","(972, 781, 0.015539798885583878)","(967, 841, 0.029817620292305946)","(978, 834, 0.04940658435225487)","(986, 819, 0.06478762626647949)","(1011, 781, 0.01184193417429924)","(1010, 840, 0.02651430480182171)","(1015, 833, 0.04550061374902725)","(1017, 819, 0.058599211275577545)","(1050, 771, 0.011058197356760502)","(1048, 806, 0.02618722803890705)","(1046, 794, 0.0410158708691597)","(1043, 776, 0.05244750902056694)",38.98477506637573
"(1010, 637, -1.074488338304036e-07)","(964, 675, 0.03109254315495491)","(947, 713, 0.04559862241148949)","(945, 746, 0.05716459080576897)","(952, 771, 0.06964263319969177)","(937, 772, 0.017669085413217545)","(920, 819, 0.03224050998687744)","(929, 828, 0.049189720302820206)","(940, 816, 0.06246690824627876)","(974, 781, 0.010903194546699524)","(969, 841, 0.02598118595778942)","(978, 833, 0.046582166105508804)","(983, 819, 0.062270231544971466)","(1013, 781, 0.007802750449627638)","(1012, 841, 0.02311575412750244)","(1014, 833, 0.043038420379161835)","(1017, 817, 0.056473102420568466)","(1049, 771, 0.007630888372659683)","(1047, 807, 0.022893749177455902)","(1044, 799, 0.038042955100536346)","(1042, 783, 0.049671418964862823)",39.29992413520813
"(1003, 629, -1.2870594900959986e-07)","(962, 668, 0.033472731709480286)","(949, 707, 0.04935068637132645)","(950, 741, 0.061688754707574844)","(961, 766, 0.07503010332584381)","(934, 767, 0.022848645225167274)","(921, 818, 0.03813885152339935)","(935, 827, 0.05544867739081383)","(947, 813, 0.06890922039747238)","(970, 777, 0.015083695761859417)","(970, 839, 0.030159641057252884)","(983, 830, 0.05111990496516228)","(988, 814, 0.06734514236450195)","(1009, 777, 0.01085964497178793)","(1010, 839, 0.0259355790913105)","(1015, 828, 0.04636028781533241)","(1017, 811, 0.06037038937211037)","(1047, 767, 0.009713702835142612)","(1047, 805, 0.02478822134435177)","(1047, 795, 0.04008302465081215)","(1044, 779, 0.05188043415546417)",39.5869722366333
