Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(1017, 612, -2.2593940229853615e-07)","(1047, 660, 0.026846440508961678)","(1049, 701, 0.040892332792282104)","(1040, 732, 0.052505768835544586)","(1024, 753, 0.0652102455496788)","(1041, 756, 0.015598033554852009)","(1036, 799, 0.03009280189871788)","(1030, 792, 0.04745376482605934)","(1025, 779, 0.05988546088337898)","(1008, 759, 0.00851344596594572)","(1001, 826, 0.0199725404381752)","(997, 818, 0.037183381617069244)","(1000, 803, 0.050415266305208206)","(975, 751, 0.004608126822859049)","(961, 817, 0.01540747657418251)","(963, 811, 0.031245063990354538)","(969, 796, 0.042092978954315186)","(943, 735, 0.003190496936440468)","(918, 789, 0.0111440010368824)","(921, 796, 0.020109737291932106)","(929, 792, 0.02752738445997238)",37.32306408882141
"(1018, 610, -2.491857173936296e-07)","(1040, 656, 0.027551420032978058)","(1039, 698, 0.0413149818778038)","(1030, 731, 0.05268152058124542)","(1013, 753, 0.0648605227470398)","(1032, 750, 0.012830747291445732)","(1022, 799, 0.02688039094209671)","(1019, 791, 0.04387306421995163)","(1017, 777, 0.05600074306130409)","(1004, 754, 0.0052177440375089645)","(994, 825, 0.016360074281692505)","(991, 811, 0.03329843655228615)","(993, 791, 0.04582725465297699)","(976, 749, 0.001161525142379105)","(959, 819, 0.012684578076004982)","(962, 804, 0.028192391619086266)","(966, 785, 0.03805097937583923)","(949, 734, -0.00026017052005045116)","(926, 794, 0.010128960013389587)","(931, 789, 0.020308107137680054)","(938, 775, 0.027654286473989487)",37.97258806228638
"(1017, 611, -2.417115183561691e-07)","(1036, 655, 0.027540061622858047)","(1036, 694, 0.04131239280104637)","(1029, 727, 0.0525500662624836)","(1014, 749, 0.06465110927820206)","(1032, 749, 0.014280128292739391)","(1025, 799, 0.02843272127211094)","(1022, 791, 0.045403771102428436)","(1019, 776, 0.05760399252176285)","(1005, 755, 0.006718416232615709)","(997, 826, 0.017928477376699448)","(994, 812, 0.034695398062467575)","(995, 792, 0.04721154272556305)","(978, 751, 0.0025866397190839052)","(962, 820, 0.014294087886810303)","(964, 805, 0.029821457341313362)","(968, 786, 0.03972760587930679)","(952, 737, 0.00106943235732615)","(931, 794, 0.011940603144466877)","(936, 788, 0.022463912144303322)","(941, 773, 0.03005586378276348)",38.56296491622925
"(1016, 615, -2.5692051508485747e-07)","(1043, 667, 0.02711966261267662)","(1048, 708, 0.039466820657253265)","(1040, 740, 0.04950351640582085)","(1024, 761, 0.060253165662288666)","(1039, 756, 0.00810558907687664)","(1031, 803, 0.021085578948259354)","(1026, 796, 0.038669172674417496)","(1023, 783, 0.051242128014564514)","(1008, 759, 0.0002066249871859327)","(999, 830, 0.010202641598880291)","(996, 816, 0.02881261333823204)","(999, 795, 0.04284011945128441)","(977, 752, -0.003976504318416119)","(964, 823, 0.006370545830577612)","(965, 810, 0.023391079157590866)","(969, 791, 0.03458230197429657)","(947, 736, -0.005501408129930496)","(924, 791, 0.002901773899793625)","(926, 792, 0.012860854156315327)","(932, 783, 0.020497949793934822)",39.81391787528992
"(1000, 616, -2.7674565217239433e-07)","(1047, 649, 0.03329133242368698)","(1068, 688, 0.053032178431749344)","(1065, 725, 0.07022292166948318)","(1056, 750, 0.08903799206018448)","(1059, 764, 0.027035975828766823)","(1056, 806, 0.05153651908040047)","(1049, 791, 0.0753917470574379)","(1044, 774, 0.0910416841506958)","(1018, 773, 0.021114714443683624)","(1018, 838, 0.04175790399312973)","(1017, 820, 0.06469906121492386)","(1017, 804, 0.08045962452888489)","(979, 774, 0.018985694274306297)","(975, 845, 0.03658796101808548)","(979, 828, 0.056240495294332504)","(980, 805, 0.06847076117992401)","(942, 764, 0.019931240007281303)","(922, 817, 0.031781259924173355)","(929, 820, 0.04280637577176094)","(937, 809, 0.05109662562608719)",60.184260845184326
"(1003, 618, -2.164986909747313e-07)","(1038, 653, 0.027664167806506157)","(1055, 695, 0.04295039176940918)","(1055, 735, 0.0564749538898468)","(1046, 761, 0.07142479717731476)","(1046, 762, 0.01467007864266634)","(1039, 812, 0.03602010756731033)","(1037, 801, 0.05917595326900482)","(1036, 784, 0.07460176944732666)","(1012, 775, 0.010016374289989471)","(1008, 842, 0.025709958747029305)","(1011, 829, 0.04659736901521683)","(1013, 813, 0.06147522106766701)","(980, 776, 0.009452741593122482)","(972, 844, 0.024547995999455452)","(979, 832, 0.04267023503780365)","(983, 813, 0.05400652810931206)","(951, 765, 0.011702335439622402)","(930, 816, 0.024621544405817986)","(939, 818, 0.03624771162867546)","(947, 806, 0.044605839997529984)",60.918585777282715
"(1018, 642, -2.3044904651214893e-07)","(999, 684, 0.026686592027544975)","(990, 722, 0.040116649121046066)","(992, 755, 0.05207565426826477)","(994, 778, 0.06446564942598343)","(974, 777, 0.009555402211844921)","(962, 823, 0.02710247039794922)","(968, 821, 0.04673647880554199)","(973, 812, 0.06015641987323761)","(988, 784, 0.0042947931215167046)","(981, 847, 0.019799724221229553)","(986, 829, 0.03921733796596527)","(991, 810, 0.052560288459062576)","(1000, 784, 0.0030858467798680067)","(992, 844, 0.019719334319233894)","(994, 826, 0.03576032817363739)","(995, 807, 0.044327862560749054)","(1011, 775, 0.004543364979326725)","(999, 817, 0.019116753712296486)","(998, 806, 0.029807237908244133)","(996, 789, 0.03644349053502083)",68.3349597454071
"(998, 615, -1.8824434278030822e-07)","(1049, 658, 0.020023377612233162)","(1062, 701, 0.03142515569925308)","(1063, 736, 0.04309966787695885)","(1061, 765, 0.05632849410176277)","(1037, 762, 0.002565015573054552)","(1045, 804, 0.021575137972831726)","(1047, 794, 0.043533481657505035)","(1043, 780, 0.058454740792512894)","(999, 767, 0.0010152468457818031)","(1007, 832, 0.015114260837435722)","(1015, 825, 0.03390578553080559)","(1018, 812, 0.047277092933654785)","(967, 761, 0.003775865538045764)","(962, 820, 0.01831992156803608)","(977, 817, 0.03482086956501007)","(987, 806, 0.04479571804404259)","(940, 749, 0.0087913628667593)","(928, 803, 0.020145853981375694)","(940, 809, 0.03021424449980259)","(949, 805, 0.037550073117017746)",71.91891670227051
