Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7,Joint 8,Joint 9,Joint 10,Joint 11,Joint 12,Joint 13,Joint 14,Time
161.7452252288933,136.33221990021477,152.1027288112215,115.17847619692496,158.36911276094108,136.42497608713302,167.0501419991178,144.74217071144722,159.44395123075108,164.7784939248781,179.92900154882963,152.70042665745072,137.31542527194893,137.90670048600927,0.8206849098205566
158.51455562545996,136.7981961024025,148.24936542918292,113.96248906746843,153.28436805433992,130.18693035037626,166.92303246017383,141.98561273896368,161.23386061748636,166.40516150223067,179.870371768406,154.9358039613997,136.88506242156578,137.2006181993453,1.185743808746338
169.3365606211688,137.01069077229783,157.16634576944767,126.48681401414285,159.88036677931538,137.1047002721791,166.53158326648375,142.5542869164465,166.00029243157854,173.26914387311953,171.36929072764866,132.6419116609578,131.7327427703184,134.04794305038266,1.4254610538482666
168.85710924920696,143.13010235841543,155.9245017516071,133.33920395582078,155.6589103040792,145.0176381625348,171.65610627848056,151.27386871613257,168.8666687879339,173.26914353499032,171.13537670393927,139.99334012369832,132.82803405487417,130.30130589100585,1.6765589714050293
170.69676853050254,151.18920620946417,163.8107934347785,125.34237164839976,158.34121126493986,131.33408546533744,167.56394363458466,145.97565433286118,168.5801978688409,177.73949539446158,170.45086650261473,120.24165226422619,124.30545501538182,121.34520006627397,1.8623130321502686
174.9974688192265,152.16191851331695,161.56505105401752,119.05847108410538,159.01439004869957,125.49928902246775,164.242679789098,144.82725807184485,167.209117055193,176.67687564864192,171.20396774244654,123.17435277887404,126.48813542384819,121.86316208709556,2.0545618534088135
174.28940442925636,146.47899241139658,160.9354520786972,140.1769235193055,145.520783293258,156.5734977091847,169.0532682203296,154.36733923594127,167.6278447340496,173.6598018067332,170.04456571923194,143.8180911791891,126.86570836333289,126.8581273281334,2.285123825073242
175.77879547998182,129.88621664933038,157.60178142310227,122.09817768605555,154.59228182876188,135.8101869214651,166.25720245912265,144.3588242074666,164.03316904618904,165.34693986663007,156.87508990058248,126.00573751265276,102.73838692283351,99.52482449515604,2.4879677295684814
174.16765952246502,139.11069907926597,157.16103205673048,138.80567659713824,158.88046999229817,153.62545439749456,168.46537869211207,153.21429757482275,174.143986414633,167.30085377319017,152.09822297712643,131.29623291387838,116.40050517303123,114.63978933797836,2.6831188201904297
173.39153367829323,140.91044696502118,163.38095385513412,138.76793673490008,155.33146693241224,156.85799440675117,167.8416339944264,157.06493625720148,173.65980820649847,163.6321671619337,151.21770047276226,130.64743307385262,116.19557523806348,114.18903039344495,2.8544490337371826
162.65218899862194,141.34019157323817,164.35775339760116,144.91018136918171,161.21038268960763,153.22507392453278,165.14138538548588,155.55604511528782,167.735226273089,167.32768672257194,151.64852551307567,131.72176854687785,122.3059254971718,122.70339291496603,3.0028958320617676
