Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21
"(915, 400, 3.7234107708172814e-07)","(815, 361, -0.019649656489491463)","(745, 305, -0.02373850718140602)","(711, 235, -0.028456002473831177)","(708, 176, -0.03152890130877495)","(813, 212, 0.015115401707589626)","(798, 134, 0.003109619254246354)","(793, 83, -0.011648396030068398)","(791, 39, -0.02340453676879406)","(869, 198, 0.012916207313537598)","(856, 113, 0.004164894577115774)","(850, 58, -0.009831326082348824)","(844, 12, -0.020557014271616936)","(923, 199, 0.004753565415740013)","(916, 116, -0.009894287213683128)","(908, 61, -0.021924981847405434)","(901, 15, -0.029946336522698402)","(981, 214, -0.005970764439553022)","(1004, 157, -0.01962284930050373)","(1013, 119, -0.026335565373301506)","(1018, 84, -0.03059997782111168)"
"(924, 435, 3.7113639450581104e-07)","(821, 397, -0.02282761037349701)","(750, 336, -0.030584251508116722)","(716, 264, -0.038159627467393875)","(710, 201, -0.044061627238988876)","(821, 241, 0.0038063861429691315)","(805, 157, -0.013445827178657055)","(800, 103, -0.03120565600693226)","(798, 56, -0.044768840074539185)","(877, 226, 0.0004650492628570646)","(864, 135, -0.013317985460162163)","(859, 76, -0.029820721596479416)","(853, 26, -0.04188961163163185)","(931, 229, -0.008513761684298515)","(922, 140, -0.028041433542966843)","(916, 82, -0.04192574322223663)","(910, 32, -0.050714172422885895)","(989, 249, -0.01999926194548607)","(1011, 187, -0.03875358775258064)","(1021, 146, -0.04708120971918106)","(1027, 110, -0.05174977332353592)"
"(927, 499, 3.407411952593975e-07)","(829, 466, -0.024408837780356407)","(757, 398, -0.03375646471977234)","(730, 321, -0.04190030321478844)","(722, 258, -0.04883291572332382)","(828, 297, -0.009936122223734856)","(814, 207, -0.028880776837468147)","(809, 151, -0.046447575092315674)","(806, 100, -0.060149166733026505)","(886, 285, -0.013576564379036427)","(876, 186, -0.029312167316675186)","(870, 124, -0.0464714840054512)","(864, 70, -0.05934031307697296)","(942, 291, -0.021742820739746094)","(936, 196, -0.04323818162083626)","(929, 135, -0.0581655278801918)","(922, 82, -0.06795201450586319)","(1002, 314, -0.032136160880327225)","(1024, 246, -0.05419602245092392)","(1034, 202, -0.06430767476558685)","(1040, 162, -0.07018435001373291)"
"(925, 583, 3.176636482749018e-07)","(834, 556, -0.02700580097734928)","(771, 484, -0.03813891112804413)","(746, 407, -0.04741537570953369)","(739, 347, -0.05559394136071205)","(840, 373, -0.018189704045653343)","(828, 275, -0.038905974477529526)","(824, 216, -0.05666603147983551)","(822, 164, -0.07032842189073563)","(900, 361, -0.02148699387907982)","(891, 254, -0.03829153627157211)","(887, 189, -0.05540047958493233)","(882, 132, -0.06819436699151993)","(959, 370, -0.029038256034255028)","(955, 265, -0.05126939341425896)","(950, 201, -0.06651409715414047)","(944, 145, -0.0766003206372261)","(1020, 397, -0.0389016792178154)","(1047, 322, -0.06171946972608566)","(1060, 275, -0.07196508347988129)","(1068, 231, -0.07787967473268509)"
"(934, 675, 2.89280649212742e-07)","(846, 654, -0.031809210777282715)","(779, 580, -0.04672316834330559)","(752, 505, -0.05874717980623245)","(747, 443, -0.0697130486369133)","(855, 455, -0.029249927029013634)","(845, 354, -0.05141930282115936)","(841, 298, -0.0692448616027832)","(838, 248, -0.08323127776384354)","(916, 446, -0.032274577766656876)","(910, 333, -0.0514625646173954)","(904, 268, -0.06926596909761429)","(899, 212, -0.0828947201371193)","(976, 459, -0.0396396741271019)","(976, 350, -0.06470558047294617)","(970, 284, -0.0820753425359726)","(965, 228, -0.09385428577661514)","(1037, 490, -0.04948581010103226)","(1068, 411, -0.074651338160038)","(1087, 361, -0.08698593080043793)","(1102, 317, -0.09482619911432266)"
"(946, 752, 2.717842448873853e-07)","(866, 720, -0.028038086369633675)","(802, 651, -0.04534329101443291)","(770, 583, -0.06016858294606209)","(759, 521, -0.07421950995922089)","(872, 529, -0.034653402864933014)","(864, 428, -0.05779891461133957)","(858, 372, -0.07540497183799744)","(853, 322, -0.08891624212265015)","(935, 524, -0.0397416427731514)","(930, 409, -0.059830304235219955)","(924, 345, -0.07711789011955261)","(918, 289, -0.09037472307682037)","(996, 541, -0.048054780811071396)","(998, 426, -0.07415856420993805)","(993, 361, -0.0911785438656807)","(987, 304, -0.10252945125102997)","(1057, 575, -0.057987093925476074)","(1097, 495, -0.08475836366415024)","(1123, 444, -0.09705179184675217)","(1142, 399, -0.10428750514984131)"
"(967, 788, 3.417565892505081e-07)","(878, 748, -0.029643001034855843)","(816, 681, -0.04903542622923851)","(789, 613, -0.06567861884832382)","(784, 550, -0.08148252964019775)","(890, 564, -0.03592885658144951)","(883, 470, -0.06075626611709595)","(878, 414, -0.07996026426553726)","(876, 362, -0.09474729746580124)","(956, 561, -0.04157835990190506)","(952, 453, -0.06381125748157501)","(949, 390, -0.08338309079408646)","(945, 330, -0.09828448295593262)","(1019, 580, -0.05070801079273224)","(1024, 476, -0.07895728945732117)","(1022, 408, -0.09797438234090805)","(1017, 347, -0.11089244484901428)","(1080, 617, -0.061492323875427246)","(1120, 543, -0.08933217078447342)","(1148, 491, -0.10272911190986633)","(1170, 441, -0.11115788668394089)"
"(982, 798, 3.804363188919524e-07)","(896, 762, -0.030643073841929436)","(832, 692, -0.04947054386138916)","(804, 622, -0.06549970805644989)","(803, 557, -0.08085430413484573)","(902, 577, -0.034659091383218765)","(895, 484, -0.059993039816617966)","(890, 431, -0.07937737554311752)","(888, 380, -0.0943538025021553)","(969, 572, -0.03987438976764679)","(967, 470, -0.06269869953393936)","(962, 408, -0.08276098966598511)","(956, 349, -0.09811663627624512)","(1033, 590, -0.04888171702623367)","(1040, 489, -0.07828937470912933)","(1038, 423, -0.09784787148237228)","(1033, 360, -0.1110881119966507)","(1093, 627, -0.05954131484031677)","(1133, 553, -0.08842622488737106)","(1162, 505, -0.10196226835250854)","(1186, 456, -0.1104716882109642)"
"(977, 805, 3.900802880707488e-07)","(897, 766, -0.029700884595513344)","(841, 696, -0.047571588307619095)","(813, 628, -0.06274675577878952)","(813, 563, -0.0770680382847786)","(907, 580, -0.030035750940442085)","(902, 490, -0.05235617607831955)","(897, 438, -0.0699562057852745)","(893, 391, -0.08385740220546722)","(973, 576, -0.034398153424263)","(973, 477, -0.05427825078368187)","(969, 419, -0.07265003770589828)","(961, 364, -0.08689228445291519)","(1036, 594, -0.04260462522506714)","(1044, 497, -0.06883028149604797)","(1043, 435, -0.0869167298078537)","(1037, 374, -0.09950242191553116)","(1096, 632, -0.05250958353281021)","(1138, 560, -0.07841277122497559)","(1167, 512, -0.0908621996641159)","(1190, 464, -0.09885244071483612)"
"(957, 800, 2.7090774779026106e-07)","(880, 768, -0.02807946875691414)","(827, 704, -0.04689253121614456)","(802, 643, -0.06340368092060089)","(807, 587, -0.07993954420089722)","(901, 598, -0.036188218742609024)","(899, 512, -0.06241041421890259)","(893, 465, -0.08290953189134598)","(884, 422, -0.0980701744556427)","(967, 598, -0.04146679863333702)","(970, 506, -0.06391547620296478)","(964, 455, -0.08282247930765152)","(953, 405, -0.09770046919584274)","(1029, 619, -0.050022199749946594)","(1040, 527, -0.0774645283818245)","(1036, 471, -0.09328258782625198)","(1027, 418, -0.10395093262195587)","(1086, 657, -0.06017632782459259)","(1128, 580, -0.0860256552696228)","(1156, 533, -0.09652901440858841)","(1175, 486, -0.10312921553850174)"
"(985, 821, -6.91495838367473e-09)","(907, 803, -0.026517290621995926)","(841, 750, -0.054957713931798935)","(795, 707, -0.0838250145316124)","(776, 650, -0.11280613392591476)","(895, 655, -0.06056635081768036)","(888, 555, -0.10632425546646118)","(859, 527, -0.13486768305301666)","(834, 526, -0.1502227932214737)","(953, 656, -0.07134673744440079)","(949, 545, -0.12272927165031433)","(906, 533, -0.14790406823158264)","(874, 555, -0.15888530015945435)","(1010, 675, -0.08529022336006165)","(1013, 565, -0.12993502616882324)","(974, 552, -0.14573697745800018)","(941, 567, -0.15050016343593597)","(1063, 710, -0.100396528840065)","(1107, 635, -0.13791479170322418)","(1122, 582, -0.1564745008945465)","(1130, 544, -0.16617731750011444)"
