Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21
"(464, 621, 2.976186408432113e-07)","(367, 600, -0.01817433163523674)","(290, 546, -0.025842074304819107)","(239, 495, -0.03389504924416542)","(197, 453, -0.041921865195035934)","(351, 410, -0.0006594570586457849)","(315, 337, -0.015455705113708973)","(285, 293, -0.031331293284893036)","(256, 254, -0.044564153999090195)","(395, 392, -0.00769187742844224)","(366, 298, -0.02168620005249977)","(337, 242, -0.03739607334136963)","(310, 194, -0.04984182491898537)","(440, 393, -0.01948467269539833)","(416, 298, -0.03826456144452095)","(388, 242, -0.053587641566991806)","(361, 192, -0.06455985456705093)","(487, 409, -0.033428046852350235)","(492, 332, -0.052110593765974045)","(492, 279, -0.0630565658211708)","(489, 229, -0.07091400027275085)"
"(452, 616, 2.4482764615640917e-07)","(355, 597, -0.01917325146496296)","(279, 542, -0.02721107378602028)","(228, 488, -0.035442035645246506)","(186, 448, -0.04338418319821358)","(339, 407, -0.0033420315012335777)","(302, 333, -0.017851220443844795)","(273, 289, -0.03374562785029411)","(247, 247, -0.047316018491983414)","(380, 388, -0.010062729008495808)","(347, 295, -0.023146890103816986)","(317, 239, -0.03836303949356079)","(289, 191, -0.05107489973306656)","(423, 388, -0.02135642059147358)","(399, 294, -0.03874547779560089)","(372, 238, -0.05396483466029167)","(345, 189, -0.06560836732387543)","(469, 404, -0.03505053371191025)","(476, 329, -0.05309009924530983)","(475, 277, -0.06456302851438522)","(471, 228, -0.0732283890247345)"
"(441, 613, 2.3271931581803074e-07)","(347, 593, -0.016594484448432922)","(274, 536, -0.02360789105296135)","(226, 483, -0.031393036246299744)","(184, 443, -0.03938562050461769)","(334, 403, -0.0018174579599872231)","(299, 327, -0.01574534922838211)","(270, 283, -0.03107740916311741)","(244, 240, -0.04425298795104027)","(376, 385, -0.010007825680077076)","(343, 290, -0.022786999121308327)","(311, 234, -0.03845568373799324)","(282, 186, -0.05149415135383606)","(418, 386, -0.022327706217765808)","(393, 289, -0.039094049483537674)","(364, 233, -0.054070670157670975)","(335, 185, -0.06580233573913574)","(463, 401, -0.03679686784744263)","(468, 326, -0.054313573986291885)","(467, 273, -0.06509062647819519)","(464, 224, -0.0733800157904625)"
"(435, 610, 1.977232244598781e-07)","(342, 589, -0.015000428073108196)","(270, 530, -0.020502932369709015)","(224, 475, -0.027204690501093864)","(185, 436, -0.034350067377090454)","(335, 401, 0.0002514482184778899)","(300, 325, -0.01294749416410923)","(271, 280, -0.027763603255152702)","(245, 237, -0.040641289204359055)","(375, 384, -0.008404110558331013)","(342, 288, -0.02068604715168476)","(310, 232, -0.03605394437909126)","(281, 184, -0.04888809844851494)","(417, 384, -0.02106229029595852)","(392, 287, -0.03718739375472069)","(364, 231, -0.05159112066030502)","(336, 182, -0.06291969865560532)","(460, 400, -0.03583160787820816)","(466, 324, -0.052528031170368195)","(466, 271, -0.06273750960826874)","(463, 222, -0.07073165476322174)"
"(438, 605, 1.8386231204203796e-07)","(344, 584, -0.014431341551244259)","(272, 526, -0.01965908892452717)","(226, 472, -0.026157356798648834)","(187, 432, -0.03287069499492645)","(337, 397, 0.0015882892766967416)","(302, 322, -0.010836360976099968)","(274, 277, -0.025191064924001694)","(248, 235, -0.03771151602268219)","(376, 379, -0.006897452287375927)","(344, 285, -0.018475566059350967)","(313, 229, -0.03317093849182129)","(283, 182, -0.045448191463947296)","(417, 380, -0.01940804347395897)","(393, 284, -0.03481784462928772)","(365, 229, -0.04876215010881424)","(338, 182, -0.05971648916602135)","(461, 396, -0.034013956785202026)","(469, 322, -0.050106752663850784)","(469, 270, -0.060113996267318726)","(465, 221, -0.06790108978748322)"
"(448, 607, 1.858401219578809e-07)","(353, 585, -0.015591043047606945)","(282, 527, -0.021615969017148018)","(236, 473, -0.028786689043045044)","(198, 432, -0.0362095944583416)","(347, 398, 0.0002840255037881434)","(313, 323, -0.013278291560709476)","(284, 277, -0.028425902128219604)","(259, 234, -0.041449613869190216)","(386, 381, -0.008285737596452236)","(356, 287, -0.02130768448114395)","(325, 231, -0.03676889091730118)","(296, 183, -0.049245886504650116)","(427, 381, -0.02095717377960682)","(404, 287, -0.03718606010079384)","(375, 232, -0.05076415464282036)","(347, 184, -0.06132253631949425)","(472, 397, -0.03588131442666054)","(478, 323, -0.05197266861796379)","(478, 272, -0.06095993518829346)","(476, 223, -0.06790944188833237)"
"(466, 611, 1.6700981575468177e-07)","(370, 591, -0.013754484243690968)","(299, 531, -0.018422391265630722)","(253, 477, -0.024829378351569176)","(215, 436, -0.031600527465343475)","(365, 404, 0.003312658751383424)","(331, 328, -0.009620605036616325)","(303, 281, -0.024241475388407707)","(277, 239, -0.036833763122558594)","(405, 387, -0.006064995191991329)","(376, 292, -0.01856640912592411)","(346, 235, -0.03339005634188652)","(317, 186, -0.04523852840065956)","(446, 387, -0.019657475873827934)","(422, 294, -0.035679373890161514)","(393, 238, -0.049158308655023575)","(365, 189, -0.059482816606760025)","(491, 402, -0.03541504219174385)","(498, 327, -0.05150323733687401)","(498, 275, -0.06054425239562988)","(495, 228, -0.06751233339309692)"
"(500, 619, 1.799096338572781e-07)","(402, 598, -0.014980279840528965)","(329, 538, -0.020846474915742874)","(282, 484, -0.02821279875934124)","(244, 442, -0.03557807207107544)","(396, 409, 0.0014832885935902596)","(360, 330, -0.012540655210614204)","(331, 282, -0.02760467305779457)","(306, 241, -0.0398806557059288)","(436, 393, -0.007296514697372913)","(405, 297, -0.02030891738831997)","(374, 239, -0.035076022148132324)","(345, 192, -0.0463312491774559)","(479, 394, -0.020298205316066742)","(456, 298, -0.03603529557585716)","(429, 242, -0.048728540539741516)","(402, 195, -0.0580025315284729)","(525, 409, -0.035529445856809616)","(534, 331, -0.05024164170026779)","(534, 278, -0.05807903781533241)","(530, 230, -0.06386185437440872)"
"(553, 629, 1.5806578801402793e-07)","(453, 606, -0.012464181520044804)","(376, 543, -0.01583952270448208)","(331, 486, -0.020945291966199875)","(293, 443, -0.02572581358253956)","(440, 412, 0.00671918410807848)","(404, 334, -0.005365936551243067)","(378, 285, -0.019688060507178307)","(356, 242, -0.031881775707006454)","(484, 394, -0.0033527270425111055)","(451, 297, -0.013705168850719929)","(423, 239, -0.027856189757585526)","(399, 193, -0.039008766412734985)","(531, 395, -0.017573991790413857)","(505, 299, -0.03159371018409729)","(480, 242, -0.043965116143226624)","(456, 195, -0.05349678918719292)","(584, 413, -0.0338766872882843)","(590, 337, -0.04762846603989601)","(589, 284, -0.05475538596510887)","(587, 237, -0.060285087674856186)"
"(624, 657, 1.6568627358992671e-07)","(522, 631, -0.00931489933282137)","(442, 559, -0.009816992096602917)","(398, 497, -0.013079039752483368)","(359, 450, -0.016620032489299774)","(498, 425, 0.012016127817332745)","(467, 342, 0.00017838833446148783)","(446, 290, -0.014537240378558636)","(426, 243, -0.0274453517049551)","(548, 408, 0.00012501284072641283)","(522, 310, -0.011773030273616314)","(497, 248, -0.028106441721320152)","(473, 199, -0.04077262058854103)","(600, 410, -0.016050975769758224)","(577, 310, -0.03302351385354996)","(549, 253, -0.048481497913599014)","(521, 205, -0.05989260599017143)","(657, 427, -0.03386826813220978)","(665, 348, -0.05223672464489937)","(666, 296, -0.0629551038146019)","(665, 249, -0.0707300528883934)"
"(717, 673, 2.0659693689140113e-07)","(604, 653, -0.01802253909409046)","(516, 580, -0.02067735232412815)","(476, 510, -0.023789644241333008)","(439, 466, -0.026517711579799652)","(583, 440, 0.002926676068454981)","(555, 353, -0.011355125345289707)","(533, 300, -0.028294062241911888)","(509, 256, -0.04223275184631348)","(635, 421, -0.004585379268974066)","(612, 315, -0.017291344702243805)","(584, 252, -0.03371754661202431)","(555, 204, -0.04572988301515579)","(690, 423, -0.016822848469018936)","(667, 318, -0.033949073404073715)","(640, 257, -0.049203917384147644)","(612, 206, -0.05997835844755173)","(749, 443, -0.0314604677259922)","(763, 364, -0.0485973134636879)","(769, 311, -0.0577201209962368)","(772, 264, -0.06394953280687332)"
"(799, 692, 3.130676873297489e-07)","(698, 659, -0.03130600228905678)","(613, 590, -0.04779690504074097)","(558, 526, -0.0625830888748169)","(531, 467, -0.0760645791888237)","(672, 437, -0.015926973894238472)","(647, 342, -0.041563376784324646)","(622, 287, -0.06672146171331406)","(596, 241, -0.08608099818229675)","(727, 423, -0.02105567790567875)","(704, 318, -0.042736150324344635)","(675, 256, -0.0643366351723671)","(644, 207, -0.07988892495632172)","(787, 433, -0.031750090420246124)","(762, 326, -0.05615502595901489)","(739, 263, -0.07178100198507309)","(716, 210, -0.08241644501686096)","(851, 464, -0.045779190957546234)","(867, 385, -0.06931429356336594)","(875, 332, -0.07874470204114914)","(882, 285, -0.08414475619792938)"
"(879, 705, 2.6962612764691585e-07)","(772, 666, -0.023372475057840347)","(688, 591, -0.03167962655425072)","(641, 519, -0.039869099855422974)","(614, 459, -0.046830810606479645)","(766, 452, 0.001111204968765378)","(746, 357, -0.0152588514611125)","(735, 299, -0.033623259514570236)","(726, 246, -0.048791058361530304)","(823, 439, -0.004731337074190378)","(806, 330, -0.018148019909858704)","(791, 264, -0.03459875285625458)","(778, 208, -0.04755430668592453)","(879, 446, -0.016095133498311043)","(866, 339, -0.034208063036203384)","(851, 276, -0.04679803177714348)","(839, 223, -0.05606163293123245)","(942, 472, -0.030496133491396904)","(960, 392, -0.04831754043698311)","(968, 341, -0.055252447724342346)","(974, 295, -0.05975929647684097)"
