Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7,Joint 8,Joint 9,Joint 10,Joint 11,Joint 12,Joint 13,Joint 14,Time
175.76246338118932,170.4554741115262,173.95822063779102,171.05775652677568,176.4196365518741,171.61512002704492,178.47198809617382,178.96653903999052,170.8873884664412,159.79358563330194,176.5053598069989,177.21990367051498,178.3641314822536,177.08421281899365,0.18671083450317383
167.6319307707004,167.16439023024822,177.26740108419227,174.0381866277736,179.53233460327334,173.0212940132496,175.7654015520607,174.8602412915816,171.21470164726983,159.37227852891814,174.20720376626102,178.90972717065776,177.80325757498633,178.59346140258023,0.3855428695678711
173.58630134026595,168.69006700069235,173.32850296339814,174.58061024054723,177.993412740299,175.77936451884767,179.6234120385017,176.79170285181095,174.71875938826568,157.26174233616942,168.11653703244136,175.09936268595396,179.9118903780031,177.04330202095852,0.5869288444519043
169.55032411326417,170.56928700441588,174.6590905465656,173.5684012114829,178.37370335356718,175.5689446500687,178.52489623633093,177.42365956935146,173.23876118999985,158.198591056542,168.89820108888844,175.65949901111193,178.4671932951636,176.0234927882147,0.7868249416351318
176.62021715116362,173.462687815503,177.0767250100785,176.57463041481532,177.64670303913488,178.52605500789542,179.9472634956269,173.2510124934955,172.3517488719397,156.39338152144023,170.03484659200043,175.93567639219785,179.4194653696794,176.28622493409495,0.9878866672515869
175.15414179209654,173.85043935739589,176.63570863307427,175.56517793740403,174.39072559947041,179.45272815491322,179.91408845060417,175.1452243216469,172.2247437265062,163.8378418476811,174.94990668578112,178.23903315719107,179.13968616450404,179.5967602360453,1.1866559982299805
169.7438515330674,172.76984105714385,177.5236970617725,172.56637915985723,178.8276973907323,174.2496083938346,178.96068196866713,179.45692572347642,177.61572364141531,162.4952403889895,160.99585018723116,166.56897098032456,171.65505367960594,175.49379439228395,1.3870608806610107
162.43351376422314,172.19020598077574,175.545019645523,173.68935203875907,177.45437618822967,177.05902452203802,174.24321800305228,177.57552703097755,178.6565667027081,160.6898927774955,162.91326323966803,167.87429357861146,175.09894401682902,179.5448317119044,1.5891788005828857
163.58030276713131,172.96918378184728,176.3961898694119,173.98796053957133,176.3010186791507,177.04078062242377,176.87540428013557,179.58340359575448,179.90119766314348,163.558411986574,161.22417962191466,168.15543637467835,176.71730526376626,177.42562815954835,1.7862167358398438
163.23224332833027,173.14571941172184,173.97788413693632,173.85293580813018,176.3284730012633,177.96182197915354,176.6576814852454,178.3934384638258,179.7486976423131,162.76318312905596,162.14063556516874,168.906277028619,175.58545118597866,178.46452041567107,1.9900827407836914
167.04205820720992,175.74876488544504,174.91127114749833,177.3872976138713,176.52117306872975,179.71313225286957,178.0694125369569,177.86135963956696,177.18047714870784,167.8135753244574,162.8276903509474,170.5673919677459,179.4120835199458,179.76719361810507,2.1874465942382812
178.01774811274998,177.1853856606669,176.17863803840908,175.7078485412959,178.09556227471248,176.66848314080372,179.50556436447056,171.68799667369544,177.5569746747674,158.26462589911893,176.79593171242374,178.4672621691864,179.06362223421814,168.31767713023018,2.388981819152832
178.88087593349337,179.40998922768603,174.11301005148573,177.4372135119846,176.3558110684384,178.43837012930746,177.7794386800248,176.02444614713158,176.15494487055668,159.1703939255922,172.29287493003213,179.82329184363343,179.50742236217863,169.72231236361947,2.5880656242370605
179.11229372568917,179.3328658950712,173.580027819868,176.39337513285298,174.0341152558466,177.96936464343125,177.68070505934435,176.89514423370736,177.4465494158543,160.6215455693155,170.2880863646287,178.35752198343383,179.92213793236692,170.0752295253118,2.789332866668701
179.89981650785973,177.804575490323,173.34335107622633,177.05887128056202,175.3608352299373,178.9830205529666,178.22427532893002,178.02798766994374,175.91588110071257,159.81961931373203,169.94795346391044,177.55546276003662,179.70916191814837,171.0149054265093,2.9856886863708496
162.59729588256582,168.91449540301505,171.80588003334816,166.93902381053402,171.04494200883047,173.27311568443207,176.0150465082104,177.74331533165457,179.18154293863938,157.90311556768665,161.08628341221927,167.22385959336395,169.41428167358373,162.83643640133002,3.1897966861724854
165.03156254604764,177.3301984268589,177.80964331701668,175.84387806930982,177.2636805565765,168.38938567660887,174.8175470265511,168.93559223847896,169.34468533101818,164.73430852989574,179.90248186632945,176.40990321422282,173.03216576150163,171.78820862603192,3.388187885284424
172.17925010514512,175.44548860816232,174.64804187880281,175.31030916588983,175.49907506913024,176.99714566936342,179.40163234034938,175.570082640111,171.85053858349784,161.37165250177475,173.1524034882321,179.20112949993919,177.54943702022763,176.03926567257045,3.589545965194702
172.60472251148187,177.59738175409316,175.14360393420577,176.11698698524188,175.5221201448447,179.17463520523336,179.13697707353094,176.08709152841038,169.50025689276546,158.94999395126234,170.0213118982777,177.35064998480956,178.25188429866435,175.88976219974478,3.7870867252349854
